survey_date,grts_cell_id,survey_type_id,location_name,species_code,avg_count,min_count,max_count,avg_count_dead,project_name,sample_design,organization_name,geometry,grts_geometry,sample_frame,start_time,end_time,colony_type,percent_bats_with_visible_fungus,counted_by,site_identifier,site_water_present,site_elevation,site_number_openings,site_number_passages,habitat_type,site_material,site_size,site_type,site_use,project_id,year,month,day,hour,species_id,event_id,event_geometry_id,grts_id,site_habitat_type_id,site_material_id,site_size_id,site_type_id,site_use_id,organization_id
"Thu Jun 25 1992 00:00:00 GMT+0000 (Coordinated Universal Time)","128742","10","950 North Street","EPFU","1.00000000000000000000","1","1",,"Mississippi Bat Monitoring","true","Mississippi Department of Wildlife, Fisheries & Parks","0101000020E6100000FE5F75E4488B56C019390B7BDA274040","0103000020E61000000100000009000000A91384EBC48D56C0158082C7D51F4040FA281D232D9156C061B63FC92E2040408D83E06FF89056C0249781E8E925404006F081ADC39056C047E66CEAA42B40407CA9637C5A8D56C0D2AA99D24B2B4040C56C915AF18956C029CA13E8F12A4040A9289216278A56C087595EFC36254040BAE629C35C8A56C0F71846F37B1F4040A91384EBC48D56C0158082C7D51F4040","Conus (Continental US) 10x10km Grid","Fri Jun 26 1992 00:00:00 GMT+0000 (Coordinated Universal Time)","Fri Jun 26 1992 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{""C.A. Jones""}","950 North Street",,,,,,,,,"summer roost","474","1992","6","26","0","5","100498","318432","35479",,,,,"6","66"
"Sat May 28 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","63788","10","Brunswick 1","CORA","12.0000000000000000","12","12",,"Colony Count - North Carolina Wildlife Resources Commission","false","North Carolina Wildlife Resources Commission","0103000020E61000000100000009000000EA6A1E81D79953C04C606C21120E414079E554F9469D53C03D7757951F0F4140565E51A6A29C53C0BEF69D6EC01441402C55B923FE9B53C0B847B42C611A414013D4CEB58D9853C08E5C3C72531941402247AE771D9553C047A990E64418414074D206F0C29553C0E0E4316FA4124140A0F78838689653C019D27CDC030D4140EA6A1E81D79953C04C606C21120E4140","0103000020E61000000100000009000000EA6A1E81D79953C04C606C21120E414079E554F9469D53C03D7757951F0F4140565E51A6A29C53C0BEF69D6EC01441402C55B923FE9B53C0B847B42C611A414013D4CEB58D9853C08E5C3C72531941402247AE771D9553C047A990E64418414074D206F0C29553C0E0E4316FA4124140A0F78838689653C019D27CDC030D4140EA6A1E81D79953C04C606C21120E4140","Conus (Continental US) 10x10km Grid","Sun May 29 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Sun May 29 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{Unknown}","Brunswick 1",,,,,,,,"bridge",,"270","1994","5","29","0","3","182038","417077","51327",,,,"12",,"74"
"Tue May 31 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","36290","10","299","MYLU","1.00000000000000000000","1","1",,"Wyoming - NABat Colony Counts","true","Wyoming Game & Fish Department   ","0103000020E610000001000000090000004BDD53353A025BC0F9F335DD0CB045400650E3C029065BC03994690B53AF4540A2F4CCC4AA065BC05C6B0ABE02B54540A85982F32B075BC055C2F088B2BA454087CA291F3B035BC01D969A9F6CBB45408B1625204AFF5AC01C3E36C525BC45402297823ACAFE5AC013B587B575B64540D667427F4AFE5AC0193B48BEC5B045404BDD53353A025BC0F9F335DD0CB04540","0103000020E610000001000000090000004BDD53353A025BC0F9F335DD0CB045400650E3C029065BC03994690B53AF4540A2F4CCC4AA065BC05C6B0ABE02B54540A85982F32B075BC055C2F088B2BA454087CA291F3B035BC01D969A9F6CBB45408B1625204AFF5AC01C3E36C525BC45402297823ACAFE5AC013B587B575B64540D667427F4AFE5AC0193B48BEC5B045404BDD53353A025BC0F9F335DD0CB04540","Conus (Continental US) 10x10km Grid","Wed Jun 01 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Wed Jun 01 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{NA}","299",,,,,,,,,,"445","1994","6","1","0","32","100694","318760","95055",,,,,,"89"
"Tue May 31 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","36290","10","299","MYCI","1.00000000000000000000","1","1",,"Wyoming - NABat Colony Counts","true","Wyoming Game & Fish Department   ","0103000020E610000001000000090000004BDD53353A025BC0F9F335DD0CB045400650E3C029065BC03994690B53AF4540A2F4CCC4AA065BC05C6B0ABE02B54540A85982F32B075BC055C2F088B2BA454087CA291F3B035BC01D969A9F6CBB45408B1625204AFF5AC01C3E36C525BC45402297823ACAFE5AC013B587B575B64540D667427F4AFE5AC0193B48BEC5B045404BDD53353A025BC0F9F335DD0CB04540","0103000020E610000001000000090000004BDD53353A025BC0F9F335DD0CB045400650E3C029065BC03994690B53AF4540A2F4CCC4AA065BC05C6B0ABE02B54540A85982F32B075BC055C2F088B2BA454087CA291F3B035BC01D969A9F6CBB45408B1625204AFF5AC01C3E36C525BC45402297823ACAFE5AC013B587B575B64540D667427F4AFE5AC0193B48BEC5B045404BDD53353A025BC0F9F335DD0CB04540","Conus (Continental US) 10x10km Grid","Wed Jun 01 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Wed Jun 01 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{NA}","299",,,,,,,,,,"445","1994","6","1","0","27","100694","318760","95055",,,,,,"89"
"Tue May 31 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","75697","10","295","MYCI","1.00000000000000000000","1","1",,"Wyoming - NABat Colony Counts","true","Wyoming Game & Fish Department   ","0103000020E61000000100000009000000D995E39E5AFA5AC04A928FAE7DB14540D667427F4AFE5AC0193B48BEC5B045402297823ACAFE5AC013B587B575B645408B1625204AFF5AC01C3E36C525BC4540BA15A9F658FB5AC03CC9B2F9DDBC4540DBADEAA267F75AC0215AFF3C95BD45402410AF06E9F65AC0532931E9E4B74540361B6C946AF65AC0E835FBAD34B24540D995E39E5AFA5AC04A928FAE7DB14540","0103000020E61000000100000009000000D995E39E5AFA5AC04A928FAE7DB14540D667427F4AFE5AC0193B48BEC5B045402297823ACAFE5AC013B587B575B645408B1625204AFF5AC01C3E36C525BC4540BA15A9F658FB5AC03CC9B2F9DDBC4540DBADEAA267F75AC0215AFF3C95BD45402410AF06E9F65AC0532931E9E4B74540361B6C946AF65AC0E835FBAD34B24540D995E39E5AFA5AC04A928FAE7DB14540","Conus (Continental US) 10x10km Grid","Wed Jun 01 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Wed Jun 01 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{NA}","295",,,,,,,,,,"445","1994","6","1","0","27","100695","4359","95056",,,,,,"89"
"Wed Jun 01 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","36290","10","296","MYCI","1.00000000000000000000","1","1",,"Wyoming - NABat Colony Counts","true","Wyoming Game & Fish Department   ","0103000020E610000001000000090000004BDD53353A025BC0F9F335DD0CB045400650E3C029065BC03994690B53AF4540A2F4CCC4AA065BC05C6B0ABE02B54540A85982F32B075BC055C2F088B2BA454087CA291F3B035BC01D969A9F6CBB45408B1625204AFF5AC01C3E36C525BC45402297823ACAFE5AC013B587B575B64540D667427F4AFE5AC0193B48BEC5B045404BDD53353A025BC0F9F335DD0CB04540","0103000020E610000001000000090000004BDD53353A025BC0F9F335DD0CB045400650E3C029065BC03994690B53AF4540A2F4CCC4AA065BC05C6B0ABE02B54540A85982F32B075BC055C2F088B2BA454087CA291F3B035BC01D969A9F6CBB45408B1625204AFF5AC01C3E36C525BC45402297823ACAFE5AC013B587B575B64540D667427F4AFE5AC0193B48BEC5B045404BDD53353A025BC0F9F335DD0CB04540","Conus (Continental US) 10x10km Grid","Thu Jun 02 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Thu Jun 02 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{NA}","296",,,,,,,,,,"445","1994","6","2","0","27","100697","318755","95055",,,,,,"89"
"Wed Jun 01 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","78147","10","297","MYCI","1.00000000000000000000","1","1",,"Wyoming - NABat Colony Counts","true","Wyoming Game & Fish Department   ","0103000020E6100000010000000900000073B910607AF25AC0DD757ABCEAB24540361B6C946AF65AC0E835FBAD34B245402410AF06E9F65AC0532931E9E4B74540DBADEAA267F75AC0215AFF3C95BD45406ED21E2576F35AC01F270B8F4BBE4540B3847A7D84EF5AC0587AC5EF00BF4540C3FCF82A07EF5AC0E392805850B94540B93F06028AEE5AC0D0B5FCD99FB3454073B910607AF25AC0DD757ABCEAB24540","0103000020E6100000010000000900000073B910607AF25AC0DD757ABCEAB24540361B6C946AF65AC0E835FBAD34B245402410AF06E9F65AC0532931E9E4B74540DBADEAA267F75AC0215AFF3C95BD45406ED21E2576F35AC01F270B8F4BBE4540B3847A7D84EF5AC0587AC5EF00BF4540C3FCF82A07EF5AC0E392805850B94540B93F06028AEE5AC0D0B5FCD99FB3454073B910607AF25AC0DD757ABCEAB24540","Conus (Continental US) 10x10km Grid","Thu Jun 02 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Thu Jun 02 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{NA}","297",,,,,,,,,,"445","1994","6","2","0","27","100699","4361","95057",,,,,,"89"
"Thu Jun 02 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","36290","10","298","MYCI","1.00000000000000000000","1","1",,"Wyoming - NABat Colony Counts","true","Wyoming Game & Fish Department   ","0103000020E610000001000000090000004BDD53353A025BC0F9F335DD0CB045400650E3C029065BC03994690B53AF4540A2F4CCC4AA065BC05C6B0ABE02B54540A85982F32B075BC055C2F088B2BA454087CA291F3B035BC01D969A9F6CBB45408B1625204AFF5AC01C3E36C525BC45402297823ACAFE5AC013B587B575B64540D667427F4AFE5AC0193B48BEC5B045404BDD53353A025BC0F9F335DD0CB04540","0103000020E610000001000000090000004BDD53353A025BC0F9F335DD0CB045400650E3C029065BC03994690B53AF4540A2F4CCC4AA065BC05C6B0ABE02B54540A85982F32B075BC055C2F088B2BA454087CA291F3B035BC01D969A9F6CBB45408B1625204AFF5AC01C3E36C525BC45402297823ACAFE5AC013B587B575B64540D667427F4AFE5AC0193B48BEC5B045404BDD53353A025BC0F9F335DD0CB04540","Conus (Continental US) 10x10km Grid","Fri Jun 03 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Fri Jun 03 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{NA}","298",,,,,,,,,,"445","1994","6","3","0","27","100700","318686","95055",,,,,,"89"
"Sat Jun 04 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","54971","10","Bellamy Cave","MYGR","32800.000000000000","32800","32800",,"TWRA Maternity Colony Monitoring - Tennessee","true","Tennessee Wildlife Resources Agency","0101000020E6100000572250FD83E455C097E13FDD403F4240","0103000020E610000001000000090000005152343824E155C081434C27593D4240234C0762BBE455C0ABB56C18DB3D4240545F799E69E455C08EE358F08B4342404B162DC217E455C0374BDCBC3C494240EC836C847FE055C00DF723A6BA4842402CA29E5FE7DC55C0C1FDF3B237484240F749F64F3ADD55C0ECDF310C8742424096803D278DDD55C070F8F159D63C42405152343824E155C081434C27593D4240","Conus (Continental US) 10x10km Grid","Sat Jun 04 1994 19:38:00 GMT+0000 (Coordinated Universal Time)","Sat Jun 04 1994 21:08:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{TNC}","Bellamy Cave",,,"3","5","forest-deciduous","limestone","large",,"summer roost","813","1994","6","4","19","29","101446","302211","58187","5","1","3",,"6","82"
"Sun Jun 05 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","28037","10","69","MYCI","1.00000000000000000000","1","1",,"Wyoming - NABat Colony Counts","true","Wyoming Game & Fish Department   ","0103000020E610000001000000090000007DE6694788095BC081F20EE14E5C4640C837B1C88B0D5BC02724BACE925B464064DA03A0100E5BC0FA424C21466146408ADB46A4950E5BC0BB832495F9664640AF7928CD900A5BC077B5C2F0B5674640EBFA3AC98B065BC02DD511567168464099751D1B08065BC0B59A0699BD6246405A95809984055BC03FE96EFD095D46407DE6694788095BC081F20EE14E5C4640","0103000020E610000001000000090000007DE6694788095BC081F20EE14E5C4640C837B1C88B0D5BC02724BACE925B464064DA03A0100E5BC0FA424C21466146408ADB46A4950E5BC0BB832495F9664640AF7928CD900A5BC077B5C2F0B5674640EBFA3AC98B065BC02DD511567168464099751D1B08065BC0B59A0699BD6246405A95809984055BC03FE96EFD095D46407DE6694788095BC081F20EE14E5C4640","Conus (Continental US) 10x10km Grid","Mon Jun 06 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Mon Jun 06 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{NA}","69",,,,,,,,,,"445","1994","6","6","0","27","100702","318720","102001",,,,,,"89"
"Sun Jun 05 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","28037","10","69","COTO","57.0000000000000000","57","57",,"Wyoming - NABat Colony Counts","true","Wyoming Game & Fish Department   ","0103000020E610000001000000090000007DE6694788095BC081F20EE14E5C4640C837B1C88B0D5BC02724BACE925B464064DA03A0100E5BC0FA424C21466146408ADB46A4950E5BC0BB832495F9664640AF7928CD900A5BC077B5C2F0B5674640EBFA3AC98B065BC02DD511567168464099751D1B08065BC0B59A0699BD6246405A95809984055BC03FE96EFD095D46407DE6694788095BC081F20EE14E5C4640","0103000020E610000001000000090000007DE6694788095BC081F20EE14E5C4640C837B1C88B0D5BC02724BACE925B464064DA03A0100E5BC0FA424C21466146408ADB46A4950E5BC0BB832495F9664640AF7928CD900A5BC077B5C2F0B5674640EBFA3AC98B065BC02DD511567168464099751D1B08065BC0B59A0699BD6246405A95809984055BC03FE96EFD095D46407DE6694788095BC081F20EE14E5C4640","Conus (Continental US) 10x10km Grid","Mon Jun 06 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Mon Jun 06 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{NA}","69",,,,,,,,,,"445","1994","6","6","0","4","100702","318720","102001",,,,,,"89"
"Mon Jun 06 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","28037","10","22","MYCI","1.00000000000000000000","1","1",,"Wyoming - NABat Colony Counts","true","Wyoming Game & Fish Department   ","0103000020E610000001000000090000007DE6694788095BC081F20EE14E5C4640C837B1C88B0D5BC02724BACE925B464064DA03A0100E5BC0FA424C21466146408ADB46A4950E5BC0BB832495F9664640AF7928CD900A5BC077B5C2F0B5674640EBFA3AC98B065BC02DD511567168464099751D1B08065BC0B59A0699BD6246405A95809984055BC03FE96EFD095D46407DE6694788095BC081F20EE14E5C4640","0103000020E610000001000000090000007DE6694788095BC081F20EE14E5C4640C837B1C88B0D5BC02724BACE925B464064DA03A0100E5BC0FA424C21466146408ADB46A4950E5BC0BB832495F9664640AF7928CD900A5BC077B5C2F0B5674640EBFA3AC98B065BC02DD511567168464099751D1B08065BC0B59A0699BD6246405A95809984055BC03FE96EFD095D46407DE6694788095BC081F20EE14E5C4640","Conus (Continental US) 10x10km Grid","Tue Jun 07 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Tue Jun 07 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{NA}","22",,,,,,,,,,"445","1994","6","7","0","27","100705","318767","102001",,,,,,"89"
"Mon Jun 06 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","28037","10","43","MYCI","1.00000000000000000000","1","1",,"Wyoming - NABat Colony Counts","true","Wyoming Game & Fish Department   ","0103000020E610000001000000090000007DE6694788095BC081F20EE14E5C4640C837B1C88B0D5BC02724BACE925B464064DA03A0100E5BC0FA424C21466146408ADB46A4950E5BC0BB832495F9664640AF7928CD900A5BC077B5C2F0B5674640EBFA3AC98B065BC02DD511567168464099751D1B08065BC0B59A0699BD6246405A95809984055BC03FE96EFD095D46407DE6694788095BC081F20EE14E5C4640","0103000020E610000001000000090000007DE6694788095BC081F20EE14E5C4640C837B1C88B0D5BC02724BACE925B464064DA03A0100E5BC0FA424C21466146408ADB46A4950E5BC0BB832495F9664640AF7928CD900A5BC077B5C2F0B5674640EBFA3AC98B065BC02DD511567168464099751D1B08065BC0B59A0699BD6246405A95809984055BC03FE96EFD095D46407DE6694788095BC081F20EE14E5C4640","Conus (Continental US) 10x10km Grid","Tue Jun 07 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Tue Jun 07 1994 00:00:00 GMT+0000 (Coordinated Universal Time)","Maternity",,"{NA}","43",,,,,,,,,,"445","1994","6","7","0","27","100706","318721","102001",,,,,,"89"
